# 台灣用語自訂詞彙表
# 格式: 简体词汇<TAB>台湾词汇
# ===================================

# === 動物 ===
考拉	無尾熊
熊猫	貓熊
三文鱼	鮭魚
金枪鱼	鮪魚
龙虾	龍蝦
章鱼	章魚
鳄鱼	鱷魚
鲨鱼	鯊魚
海豚	海豚
企鹅	企鵝

# === 食物/水果 ===
土豆	馬鈴薯
菠萝	鳳梨
猕猴桃	奇異果
西红柿	番茄
花生	花生
玉米	玉米
方便面	泡麵
速食面	泡麵
泡面	泡麵
酸奶	優格
优酪乳	優格
奶酪	起司
芝士	起司
沙拉	沙拉
三明治	三明治
汉堡	漢堡
薯条	薯條
炸鸡	炸雞
披萨	披薩
意大利面	義大利麵
意面	義大利麵

# === 交通 ===
出租车	計程車
打车	叫計程車
地铁	捷運
公交车	公車
公交	公車
公共汽车	公車
轻轨	輕軌
高铁	高鐵
动车	高鐵
摩托车	機車
电动车	電動車
自行车	腳踏車
单车	單車

# === 科技/電腦 ===
软件	軟體
硬件	硬體
程序	程式
程序员	工程師
码农	工程師
内存	記憶體
硬盘	硬碟
移动硬盘	行動硬碟
优盘	隨身碟
U盘	隨身碟
闪存盘	隨身碟
芯片	晶片
处理器	處理器
显卡	顯示卡
主板	主機板
服务器	伺服器
宽带	寬頻
网络	網路
互联网	網際網路
局域网	區域網路
鼠标	滑鼠
键盘	鍵盤
屏幕	螢幕
显示器	螢幕
打印机	印表機
扫描仪	掃描器
数码	數位
模拟	類比
在线	線上
离线	離線
上网	上網
下载	下載
上传	上傳
登录	登入
登陆	登入
注册	註冊
账号	帳號
账户	帳戶
密码	密碼
视频	影片
音频	音訊
博客	部落格
帖子	貼文
发帖	發文
点赞	按讚
短信	簡訊
彩信	多媒體簡訊
人工智能	人工智慧
机器学习	機器學習
深度学习	深度學習
数据库	資料庫
数据	資料
信息	資訊
默认	預設
窗口	視窗
文件夹	資料夾
回收站	資源回收筒
图标	圖示
字体	字型
光盘	光碟
刻录	燒錄
激光	雷射

# === 日常用品 ===
塑料	塑膠
塑料袋	塑膠袋
垃圾	垃圾
创可贴	OK繃
绷带	繃帶
餐巾纸	餐巾紙
卫生纸	衛生紙
洗发水	洗髮精
沐浴露	沐浴乳
牙膏	牙膏
肥皂	肥皂
洗衣液	洗衣精

# === 娛樂/媒體 ===
综艺	綜藝
真人秀	實境秀
偶像剧	偶像劇
动漫	動漫
动画片	卡通
游戏	遊戲
网游	線上遊戲
手游	手遊
主播	直播主
网红	網紅
粉丝	粉絲
黑粉	黑粉
爱豆	偶像
应援	應援
打call	應援

# === 網路流行語/網路用語 ===
牛逼	超強
牛B	超強
NB	超強
太牛了	太強了
666	讚讚
6666	讚讚讚
233	哈哈哈
2333	哈哈哈哈
哈哈哈	哈哈哈
呵呵	呵呵
么么哒	麼麼噠
yyds	永遠的神
永远的神	永遠的神
绝绝子	絕絕子
无语子	無語子
笑死	笑死
笑死了	笑死了
破防了	破防了
破大防	破大防
真的会谢	真的會謝
芭比Q了	芭比Q了
寄了	寄了
润了	潤了
摆烂	擺爛
摆了	擺了
躺平	躺平
内卷	內捲
卷王	捲王
太卷了	太捲了
社死	社死
社会性死亡	社會性死亡
cpu	CPU
被cpu了	被CPU了
pua	PUA
被pua	被PUA
emm	嗯
emmm	嗯嗯
emo	emo
我emo了	我emo了
上头	上頭
太上头了	太上頭了
下头	下頭
太下头了	太下頭了
绝了	絕了
真的绝了	真的絕了
离谱	離譜
太离谱了	太離譜了
逆天	逆天
太逆天了	太逆天了
无敌	無敵
太无敌了	太無敵了
裂开	裂開
我裂开了	我裂開了
麻了	麻了
我麻了	我麻了
酸了	酸了
我酸了	我酸了
柠檬精	檸檬精
舔狗	舔狗
渣男	渣男
渣女	渣女
海王	海王
绿茶	綠茶
白莲花	白蓮花
心机婊	心機婊
直男	直男
直女	直女
钢铁直男	鋼鐵直男
小姐姐	小姐姐
小哥哥	小哥哥
老铁	老鐵
兄弟	兄弟
姐妹	姐妹
闺蜜	閨蜜
基友	基友
gay蜜	gay蜜
cp	CP
磕cp	嗑CP
嗑cp	嗑CP
站cp	站CP
拆cp	拆CP
be了	BE了
he了	HE了
刀了	刀了
太刀了	太刀了
虐了	虐了
太虐了	太虐了
甜了	甜了
太甜了	太甜了
苏了	蘇了
太苏了	太蘇了
上瘾	上癮
爽	爽
太爽了	太爽了
带感	帶感
有感觉	有感覺
对味	對味
不对味	不對味
get到	get到
没get到	沒get到
懂了	懂了
悟了	悟了
蚌埠住了	繃不住了
绷不住了	繃不住了
憋不住了	憋不住了
泪目	淚目
破涕为笑	破涕為笑
原地去世	原地去世
原地爆炸	原地爆炸
头秃	頭禿
秃了	禿了
我秃了	我禿了
肝爆	肝爆
肝了	肝了
氪金	氪金
白嫖	白嫖
白piao	白嫖
薅羊毛	薅羊毛
种草	種草
拔草	拔草
安利	安利
吃安利	吃安利
踩雷	踩雷
避雷	避雷
真香	真香
真香定律	真香定律
打脸	打臉
啪啪打脸	啪啪打臉
凡尔赛	凡爾賽
太凡了	太凡了
装逼	裝逼
装B	裝B
zhuangbility	裝B
低调炫富	低調炫富
炫富	炫富
秀	秀
秀到飞起	秀到飛起
秀儿	秀兒
骚操作	騷操作
神操作	神操作
翻车	翻車
塌房	塌房
爆雷	爆雷
吃瓜	吃瓜
吃瓜群众	吃瓜群眾
围观	圍觀
前排	前排
插眼	插眼
蹲一个	蹲一個
求蹲	求蹲
冲鸭	衝鴨
冲冲冲	衝衝衝
奥利给	奧力給
盘他	盤他
安排	安排
整活	整活
搞事情	搞事情
恰饭	恰飯
恰烂钱	恰爛錢
水军	水軍
杠精	槓精
键盘侠	鍵盤俠
喷子	噴子
黑子	黑子
带节奏	帶節奏
洗地	洗地
控评	控評
反串黑	反串黑
高级黑	高級黑
捧杀	捧殺
踩一捧一	踩一捧一
拉踩	拉踩
站队	站隊
出圈	出圈
破圈	破圈
圈地自萌	圈地自萌
饭圈	飯圈
追星	追星
爬墙	爬牆
脱粉	脫粉
回踩	回踩
路转粉	路轉粉
粉转黑	粉轉黑
死忠粉	死忠粉
唯粉	唯粉
团粉	團粉
cp粉	CP粉
毒唯	毒唯
私生饭	私生飯
代拍	代拍
黄牛	黃牛
应援棒	應援棒
手幅	手幅
打榜	打榜
做数据	做數據
控场	控場
蹦迪	蹦迪
嗨	嗨
嗨起来	嗨起來
蹦起来	蹦起來
嘿嘿	嘿嘿
嘻嘻	嘻嘻
哟	喲
哦吼	噢吼
昂	昂
嗷	嗷
嗷嗷	嗷嗷
噗	噗
噗哈哈	噗哈哈
哎呀	哎呀
哎哟	哎喲
哎	哎
唉	唉
呜呜	嗚嗚
呜呜呜	嗚嗚嗚
委屈巴巴	委屈巴巴

# === 遊戲用語 ===
开黑	開黑
上分	上分
掉分	掉分
排位	排位
匹配	匹配
solo	單挑
carry	carry
躺赢	躺贏
躺输	躺輸
挂机	掛機
送人头	送人頭
超神	超神
MVP	MVP
垃圾	垃圾
菜鸟	菜鳥
菜鸡	菜雞
大佬	大佬
大神	大神
萌新	萌新
老玩家	老玩家
肝帝	肝帝
零氪	零氪
微氪	微氪
大氪	大氪
氪佬	氪佬
非酋	非酋
欧皇	歐皇
玄学	玄學
抽卡	抽卡
保底	保底
歪了	歪了
出货	出貨
毕业	畢業
满级	滿級
满配	滿配

# === 口語/日常表達 ===
加油	加油
辛苦了	辛苦了
不客气	不客氣
没关系	沒關係
对不起	對不起
谢谢	謝謝
再见	再見
拜拜	掰掰
晚安	晚安
早安	早安
你好	你好
怎么了	怎麼了
为什么	為什麼
什么	什麼
这个	這個
那个	那個
哪个	哪個
怎么样	怎麼樣
好的	好的
可以	可以
不行	不行
算了	算了
随便	隨便
无所谓	無所謂
不知道	不知道
知道了	知道了
明白	明白
了解	了解
好吧	好吧
行吧	行吧
搞定	搞定
没问题	沒問題
OK	OK
靠谱	靠譜
不靠谱	不靠譜
走起	走起
# removed: 冲 too short
咱们	我們
俺	我
咋	怎
啥	什麼
咋整	怎麼辦
# removed: 整 too short
# removed: 搞 no change
# removed: 弄 no change
干嘛	幹嘛
干什么	幹什麼
有啥	有什麼
没啥	沒什麼
挺好的	蠻好的
# removed: 挺 too short
蛮	蠻

# === 台灣特色語氣詞 ===
呢	呢
啊	啊
嘛	嘛
呀	呀
哦	喔
哇	哇
嗯	嗯
额	呃
噢	噢

# === 單位/量詞 ===
公里	公里
千米	公里
# removed: 米 causes false match
厘米	公分
毫米	公釐
公斤	公斤
千克	公斤
# removed: 克 causes false match
# removed: 升 causes false match
毫升	毫升

# === 職業/身份 ===
保安	保全
服务员	服務生
空姐	空服員
空乘	空服員
老师	老師
医生	醫生
护士	護士
律师	律師
会计	會計
司机	司機
快递员	快遞員
外卖员	外送員

# === 場所 ===
超市	超市
便利店	便利商店
商场	百貨公司
购物中心	購物中心
电影院	電影院
健身房	健身房
酒吧	酒吧
网吧	網咖
咖啡厅	咖啡廳
餐厅	餐廳
饭店	飯店
宾馆	旅館
酒店	飯店
医院	醫院
银行	銀行
邮局	郵局

# === 其他常用 ===
质量	品質
水平	水準
素质	素質
垃圾	垃圾
馬上	馬上
马上	馬上
然后	然後
虽然	雖然
但是	但是
因为	因為
所以	所以
如果	如果
应该	應該
可能	可能
一定	一定
肯定	肯定
确实	確實
其实	其實
原来	原來
终于	終於
已经	已經
正在	正在
刚才	剛才
现在	現在
以前	以前
以后	以後

# === 台灣罵人話/髒話/口頭禪 ===
# 經典款
靠	靠
我靠	靠北
卧槽	靠北
我草	靠北
我艹	靠北
我操	靠北
尼玛	靠北
他妈的	他媽的
妈的	媽的
卧槽无情	靠北喔
# 我去	靠  # removed: causes '我去新西兰' → '靠新西兰', handled in SENTENCE_PATTERNS with ^$ anchor
去你的	去你的
滚	滾
滚蛋	滾蛋
你妈	你媽
傻逼	白痴
SB	白痴
sb	白痴
煞笔	白痴
弱智	白痴
脑残	腦殘
智障	智障
神经病	神經病
有病	有病
有毛病	有毛病
变态	變態
恶心	噁心
真恶心	真噁心
太恶心了	太噁心了
贱人	賤人
婊子	婊子
王八蛋	王八蛋
混蛋	混蛋
狗东西	狗東西

# 台灣特色罵人話
靠北	靠北
靠北喔	靠北喔
靠夭	靠夭
靠邀	靠邀
干	幹
干你娘	幹你娘
干你老师	幹你老師
机掰	機掰
鸡掰	機掰
机巴	機掰
林北	林北
哩公三小	你公三小
三小	三小
啥小	啥小
废物	廢物
废柴	廢柴
没路用	沒路用
白目	白目
白烂	白爛
欠揍	欠揍
欠打	欠打
欠骂	欠罵
找死	找死
去死	去死
去死吧	去死吧
死开	死開
滚开	滾開
闭嘴	閉嘴
住嘴	住嘴
吵死了	吵死了
烦死了	煩死了

# 嘲諷/不屑
呵呵	呵呵
切	切
啧	嘖
嘁	嘁
真是	真是
服了	服了
我服了	我服了
无语	無言
我无语了	我無言了
醉了	醉了
我醉了	我醉了
吐了	吐了
我吐了	我吐了
受不了	受不了
我真的受不了	我真的受不了
搞笑	搞笑
太搞笑了	太搞笑了
可笑	可笑
好笑	好笑
笑死人	笑死人
有够扯	有夠扯
有够烂	有夠爛
有够瞎	有夠瞎
烂透了	爛透了
差劲	差勁
太差劲了	太差勁了
不要脸	不要臉
厚脸皮	厚臉皮
脸皮厚	臉皮厚
死不要脸	死不要臉

# 生氣/煩躁
气死我了	氣死我了
气死人	氣死人
烦死了	煩死了
烦人	煩人
好烦	好煩
超烦	超煩
很烦	很煩
够了	夠了
够了没	夠了沒
受够了	受夠了
我受够了	我受夠了
闹够了没	鬧夠了沒
有完没完	有完沒完
完了没	完了沒
吵够了没	吵夠了沒

# 輕度罵人/表示不爽
白痴	白痴
笨蛋	笨蛋
蠢货	蠢貨
傻瓜	傻瓜
呆子	呆子
猪头	豬頭
猪脑	豬腦
脑子进水	腦子進水
你脑子有问题	你腦子有問題
有问题吧你	有問題吧你
有病吧你	有病吧你
神经吧	神經吧
什么玩意	什麼玩意
什么鬼	什麼鬼
什么东西	什麼東西
搞什么	搞什麼
搞什么鬼	搞什麼鬼
搞毛	搞毛
搞屁	搞屁
屁啦	屁啦
放屁	放屁
鬼扯	鬼扯
胡说八道	胡說八道
瞎说	瞎說
乱讲	亂講
乱说	亂說
骗人	騙人
骗鬼	騙鬼
鬼才信	鬼才信
谁信啊	誰信啊

# 抱怨/發牢騷
好衰	好衰
真衰	真衰
倒霉	倒楣
真倒霉	真倒楣
太倒霉了	太倒楣了
运气差	運氣差
运气真差	運氣真差
惨	慘
好惨	好慘
太惨了	太慘了
悲催	悲催
悲剧	悲劇
太悲剧了	太悲劇了
完蛋	完蛋
完蛋了	完蛋了
死定了	死定了
惨了	慘了
糟了	糟了
糟糕	糟糕
坏了	壞了
完了	完了
没救了	沒救了

# ===================================
# === 擴充詞庫 - 2024更新 ===
# ===================================

# === 大陸→台灣基礎詞彙擴充 ===
视频号	影片
优酷	優酷
爱奇艺	愛奇藝
哔哩哔哩	B站
B站	B站
抖音	抖音
快手	快手
小红书	小紅書
微博	微博
微信	微信
支付宝	支付寶
淘宝	淘寶
天猫	天貓
京东	京東
拼多多	拼多多
美团	美團
饿了么	餓了麼
滴滴	滴滴
高德	高德
百度	百度
搜狗	搜狗
知乎	知乎
豆瓣	豆瓣
贴吧	貼吧
虎牙	虎牙
斗鱼	鬥魚
映客	映客

# === 手機/3C用語 ===
华为	華為
小米	小米
OPPO	OPPO
vivo	vivo
苹果	蘋果
安卓	安卓
运营商	電信商
流量	流量
套餐	方案
充值	儲值
话费	話費
通话	通話
语音	語音
视频通话	視訊通話
直播间	直播間
连麦	連麥
PK	PK
刷礼物	刷禮物
打赏	打賞
弹幕	彈幕
发弹幕	發彈幕

# === 更多日常用語 ===
质量	品質
水平	水準
水准	水準
素质	素質
口味	口味
效果	效果
体验	體驗
服务	服務
环境	環境
氛围	氛圍
性价比	CP值
划算	划算
实惠	實惠
便宜	便宜
贵	貴
太贵了	太貴了
打折	打折
优惠	優惠
促销	促銷
特价	特價
免费	免費
包邮	免運
运费	運費

# === 描述詞彙 ===
特别	特別
非常	非常
超级	超級
很	很
太	太
真的	真的
确实	確實
果然	果然
居然	居然
竟然	竟然
难道	難道
到底	到底
究竟	究竟
简直	簡直
完全	完全
根本	根本
绝对	絕對
相当	相當
比较	比較
稍微	稍微
有点	有點
一点	一點
多少	多少
差不多	差不多
大概	大概
可能	可能
应该	應該
肯定	肯定
一定	一定
必须	必須
需要	需要
想要	想要
希望	希望
期待	期待

# ===================================
# === 遊戲/動漫專屬詞庫 ===
# ===================================

# === MOBA/競技遊戲 ===
王者荣耀	傳說對決
英雄联盟	英雄聯盟
LOL	LOL
DOTA	DOTA
APEX	APEX
绝地求生	絕地求生
吃鸡	吃雞
大逃杀	大逃殺
和平精英	和平精英
刺激战场	刺激戰場
荒野行动	荒野行動
第五人格	第五人格
原神	原神
崩坏	崩壞
明日方舟	明日方舟
阴阳师	陰陽師
王者	王者
传奇	傳奇
DNF	DNF
魔兽	魔獸
暗黑	暗黑
炉石传说	爐石戰記
永劫无间	永劫無間

# === 遊戲術語 ===
打野	打野
中单	中路
上单	上路
辅助	輔助
射手	射手
ADC	ADC
AP	AP
AD	AD
坦克	坦克
刺客	刺客
法师	法師
战士	戰士
输出	輸出
伤害	傷害
DPS	DPS
爆发	爆發
秒杀	秒殺
秒人	秒人
越塔	越塔
塔下	塔下
推塔	推塔
拆塔	拆塔
清兵	清兵
补刀	補刀
对线	對線
换线	換線
游走	游走
抓人	抓人
gank	GANK
团战	團戰
开团	開團
集合	集合
撤退	撤退
进攻	進攻
防守	防守
支援	支援
绕后	繞後
包抄	包抄
切入	切入
切后排	切後排
拉扯	拉扯
风筝	風箏
走位	走位
位移	位移
闪现	閃現
大招	大招
技能	技能
被动	被動
装备	裝備
出装	出裝
神装	神裝
鞋子	鞋子
打钱	打錢
经济	經濟
等级	等級
经验	經驗
buff	BUFF
debuff	DEBUFF
红buff	紅BUFF
蓝buff	藍BUFF
龙	龍
大龙	大龍
小龙	小龍
野怪	野怪
野区	野區
视野	視野
插眼	插眼
排眼	排眼
真眼	真眼
假眼	假眼
反野	反野
入侵	入侵
蹲草	蹲草
埋伏	埋伏
偷袭	偷襲
一血	一血
双杀	雙殺
三杀	三殺
四杀	四殺
五杀	五殺
超神	超神
暴走	暴走
终结	終結
复活	復活
泉水	泉水
基地	基地
水晶	水晶
高地	高地
外塔	外塔
内塔	內塔
门牙塔	門牙塔
兵线	兵線
超级兵	超級兵
小兵	小兵
炮车	炮車
挂机	掛機
送头	送頭
坑	坑
演员	演員
挂	掛
外挂	外掛
开挂	開掛
代打	代打
上分	上分
掉分	掉分
段位	段位
王者	王者
大师	大師
钻石	鑽石
铂金	鉑金
黄金	黃金
白银	白銀
青铜	青銅
黑铁	黑鐵

# === 抽卡/手遊術語 ===
十连	十連
单抽	單抽
保底	保底
小保底	小保底
大保底	大保底
歪了	歪了
出货	出貨
金卡	金卡
紫卡	紫卡
蓝卡	藍卡
绿卡	綠卡
白卡	白卡
SSR	SSR
SR	SR
R	R
N	N
UR	UR
限定	限定
联动	聯動
复刻	復刻
卡池	卡池
up池	UP池
常驻池	常駐池
新手池	新手池
氪金	課金
首充	首儲
月卡	月卡
通行证	通行證
战令	戰令
礼包	禮包
福利	福利
签到	簽到
日常	日常
周常	週常
活动	活動
副本	副本
关卡	關卡
boss	BOSS
精英怪	菁英怪
小怪	小怪
刷本	刷本
刷图	刷圖
扫荡	掃蕩
体力	體力
体力药	體力藥
道具	道具
材料	材料
碎片	碎片
突破	突破
进阶	進階
升星	升星
升级	升級
满级	滿級
养成	養成
练度	練度
毕业	畢業
退坑	退坑
入坑	入坑
弃坑	棄坑
回坑	回坑

# === 動漫術語 ===
番剧	番劇
新番	新番
完结	完結
连载	連載
漫画	漫畫
轻小说	輕小說
同人	同人
原作	原作
改编	改編
声优	聲優
CV	CV
監督	監督
脚本	腳本
作画	作畫
崩坏	崩壞
作画崩坏	作畫崩壞
番外	番外
OVA	OVA
OAD	OAD
剧场版	劇場版
总集篇	總集篇
OP	OP
ED	ED
BGM	BGM
OST	OST
插曲	插曲
主题曲	主題曲
片头曲	片頭曲
片尾曲	片尾曲
日配	日配
国配	國配
字幕组	字幕組
生肉	生肉
熟肉	熟肉
汉化	漢化
翻译	翻譯
机翻	機翻
官方	官方
民间	民間
追番	追番
补番	補番
催更	催更
更新	更新
周更	週更
日更	日更
月更	月更
年更	年更
鸽了	鴿了
烂尾	爛尾
神作	神作
佳作	佳作
良作	良作
粪作	糞作
黑马	黑馬
霸权	霸權
冷门	冷門
热门	熱門
出圈	出圈
破圈	破圈
圈内	圈內
圈外	圈外
入宅	入宅
宅男	宅男
宅女	宅女
死宅	死宅
二次元	二次元
三次元	三次元
2.5次元	2.5次元
纸片人	紙片人
老婆	老婆
老公	老公
本命	本命
墙头	牆頭
爬墙	爬牆
入股	入股
脱粉	脫粉
安利	安利
入坑	入坑
出坑	出坑
深坑	深坑
天坑	天坑
毒奶	毒奶
奶死	奶死
flag	FLAG
立flag	立FLAG
收flag	收FLAG

# === CP/磕糖術語 ===
磕CP	嗑CP
站CP	站CP
拆CP	拆CP
官配	官配
官方	官方
逆CP	逆CP
无差	無差
攻受	攻受
小攻	小攻
小受	小受
总攻	總攻
总受	總受
互攻	互攻
可逆	可逆
不可逆	不可逆
年上	年上
年下	年下
BL	BL
GL	GL
BG	BG
耽美	耽美
百合	百合
纯爱	純愛
甜文	甜文
虐文	虐文
BE	BE
HE	HE
OE	OE
刀子	刀子
糖	糖
狗粮	狗糧
撒糖	撒糖
发糖	發糖
吃糖	吃糖
磕糖	嗑糖
齁甜	齁甜
腻死	膩死
虐心	虐心
刀了	刀了
扎心	扎心
心痛	心痛
哭了	哭了
泪目	淚目
破防	破防
