# 香港用語自訂詞彙表
# 格式: 简体词汇<TAB>香港繁体词汇
# 說明: 左列為簡體（大陸用語），右列為香港繁體（港式用語）

# === 日常用语差异 ===
出租车	的士
公交车	巴士
地铁	港鐵
自行车	單車
果汁	果汁飲品
土豆	薯仔
西红柿	番茄
菠萝	菠蘿
猕猴桃	奇異果
方便面	公仔麵
酸奶	乳酪
奶酪	芝士
三明治	三文治
色拉	沙律
沙拉	沙律
方便面调味包	公仔麵調味粉
老坛酸菜方便面	老壇酸菜公仔麵
红烧牛肉方便面	紅燒牛肉公仔麵
香辣牛肉方便面	香辣牛肉公仔麵
海鲜味方便面	海鮮味公仔麵
桶装方便面	杯裝即食麵
袋装方便面	袋裝即食麵
速食方便面	即食麵
泡面加蛋	公仔麵加蛋
泡面加火腿	公仔麵加火腿
吃方便面	食公仔麵
煮方便面	煮公仔麵
三分钟方便面	三分鐘公仔麵
一包方便面	一包公仔麵
两包方便面	兩包公仔麵
酸奶水果杯	乳酪水果杯
酸奶饮品	乳酪飲品
原味酸奶	原味乳酪
低脂酸奶	低脂乳酪
无糖酸奶	無糖乳酪
奶酪焗饭	芝士焗飯
奶酪意面	芝士意粉
奶酪蛋糕	芝士蛋糕
奶酪汉堡	芝士漢堡
奶酪火锅	芝士火鍋
芝士条	芝士條
三明治套餐	三文治套餐
鸡蛋三明治	雞蛋三文治
火腿三明治	火腿三文治
吞拿鱼三明治	吞拿魚三文治
俱乐部三明治	公司三文治
沙拉酱	沙律醬
蔬菜沙拉	蔬菜沙律
水果沙拉	水果沙律
凯撒沙拉	凱撒沙律
土豆炖牛肉	薯仔炆牛肉
土豆泥	薯仔蓉
土豆丝	薯仔絲
土豆片	薯仔片
烤土豆	焗薯仔
西红柿炒蛋	番茄炒蛋
西红柿汤	番茄湯
西红柿酱	番茄醬
西红柿牛腩	番茄牛腩
菠萝包	菠蘿包
菠萝汁	菠蘿汁
菠萝炒饭	菠蘿炒飯
菠萝咕噜肉	菠蘿咕嚕肉
猕猴桃汁	奇異果汁
猕猴桃片	奇異果片
猕猴桃酸奶	奇異果乳酪
猕猴桃沙拉	奇異果沙律
打出租车	截的士
出租车司机	的士司機
出租车站	的士站
叫出租车	叫的士
出租车费	的士車費
公交车站	巴士站
公交车路线	巴士路線
坐公交车	搭巴士
公交卡	八達通
换乘公交	轉乘巴士
公共汽车	巴士
地铁站	港鐵站
坐地铁	搭港鐵
地铁口	港鐵出口
地铁卡	八達通
地铁月票	港鐵月票
自行车道	單車徑
骑自行车	踩單車
共享自行车	共享單車
自行车架	單車架
自行车头盔	單車頭盔
冰棍	雪條
冰棍儿	雪條
炒酸奶	炒乳酪
奶茶店	珍珠奶茶店
外带	外賣自取
打包带走	打包拎走
塑料袋	膠袋
一次性筷子	即棄筷子
抽纸	盒裝紙巾
纸巾	紙巾
卫生巾	衞生巾
垃圾袋	垃圾膠袋
拖鞋	人字拖
雨伞	遮
雨衣	雨褸
毛衣	冷衫
外套	外套褸
羽绒服	羽絨褸
内裤	底褲
秋裤	保暖褲
马甲	背心
秋衣	保暖內衣
枕头	枕頭
被子	被鋪
床单	床單
晒衣服	曬衫
晾衣服	晾衫
洗洁精	洗潔精
电梯	升降機
楼道	走廊
单元门	大堂門
门铃	門鐘
防盗门	防盜門
快递柜	智能櫃
快递站	速遞站
收快递	收件
寄快递	寄件
上门取件	上門收件
取外卖	拎外賣
下馆子	去食肆
吃饭	食飯
喝饮料	飲嘢
喝水	飲水
喝粥	食粥
吃宵夜	食宵夜
逛街	行街
买东西	買嘢
便宜点	平啲
太贵了	太貴喇
算便宜	算平
真划算	好抵
太划算了	超抵
看电影	睇戲
电视剧	電視劇集
综艺节目	綜藝節目
漫画书	漫畫書
动画片	卡通片
口红	唇膏
美瞳	大眼仔
隐形眼镜	隱形眼鏡
卫生间	洗手間
厕所	廁所
洗手池	洗手盆
马桶	坐廁
冲马桶	沖廁
纸尿裤	尿片
奶瓶	奶樽
婴儿车	BB車
幼儿辅食	BB輔食
遛娃	帶BB出街
外公	阿公
外婆	阿婆
爷爷	阿爺
奶奶	阿嫲
叔叔	阿叔
阿姨	阿姨姐

# === 科技/互联网用语 ===
软件	軟件
硬件	硬件設備
内存	記憶體
硬盘	硬碟
鼠标	滑鼠
U盘	USB手指
博客	網誌
视频	影片
网络	網絡
服务器	伺服器
数据	數據
应用程序安装包	應用程式安裝檔
手机应用程序	手機應用程式
桌面应用程序	桌面應用程式
网页版管理后台	網頁版管理後台
系统设置页面	系統設定頁面
软件开发工具包	軟件開發工具包
软件更新日志	軟件更新日誌
软件兼容模式	軟件兼容模式
软件测试环境	軟件測試環境
软件运行环境	軟件運行環境
软件许可证	軟件授權證
软件安装向导	軟件安裝精靈
软件安装失败	軟件安裝失敗
软件自动更新	軟件自動更新
软件手动更新	軟件手動更新
硬件驱动程序	硬件驅動程式
硬件故障检测	硬件故障檢測
主板芯片组	主機板晶片組
图形处理器	圖形處理器
中央处理器	中央處理器
多核处理器	多核心處理器
内存占用过高	記憶體佔用過高
内存不足警告	記憶體不足警告
内存泄漏问题	記憶體洩漏問題
内存清理工具	記憶體清理工具
硬盘空间不足	硬碟空間不足
机械硬盘	機械硬碟
固态硬盘	固態硬碟
移动硬盘	流動硬碟
移动硬盘盒	流動硬碟盒
优盘容量	USB手指容量
U盘加密	USB手指加密
U盘启动盘	USB手指開機碟
鼠标灵敏度	滑鼠靈敏度
无线鼠标	無線滑鼠
有线鼠标	有線滑鼠
鼠标垫	滑鼠墊
键盘背光	鍵盤背光
机械键盘	機械鍵盤
薄膜键盘	薄膜鍵盤
